name                                                  ,count
Richmond City                                         , 19
U.S. House VA-04                                      , 14
VA Senate District 14                                 , 13
VA House District 79                                  , 9 
RVA City Council District 7                           , 8 
U.S. House VA-01                                      , 5 
VA House District 78                                  , 4 
RVA City Council District 1                           , 3 
Henrico County                                        , 3 
VA Senate District 26                                 , 2 
VA House District 60                                  , 2 
Henrico Board of Supervisors Three Chopt District     , 2 
Hanover County                                        , 2 
VA Senate District 16                                 , 2 
VA Senate District 13                                 , 1 
VA House District 57                                  , 1 
VA House District 72                                  , 1 
VA Senate District 12                                 , 1 
RVA City Council District 3                           , 1 
RVA City Council District 2                           , 1 
VA House District 81                                  , 1 
Chesterfield Board of Supervisors Midlothian District , 1 
VA House District 58                                  , 1 
Chesterfield County                                   , 1 
Henrico Board of Supervisors Varina District          , 1 
RVA City Council District 5                           , 1 
VA House District 80                                  , 0 
RVA City Council District 9                           , 0 
RVA City Council District 4                           , 0 
VA House District 77                                  , 0 
VA Senate District 15                                 , 0 
RVA City Council District 6                           , 0 
U.S. House VA-05                                      , 0 
VA House District 76                                  , 0 
RVA City Council District 8                           , 0 
Missed Last Hour of Action                            , 0 
